,nickname,userid,content,likecount,time,name
0,儿童节的雪,411908666,遇见你才明白，开往地老天荒其实不需要多勇敢，只需要你是终点。,113338,2017-08-28 15:39:36,爱情转移
1,ElGeneral,96539845,多希望有一天我的孩子问我 爸爸你的初恋是谁啊 的时候 我不是戴上老花眼镜翻开早已泛黄的照片和信，而是指指厨房里忙碌的背影说，你看 孩子，她就在那儿。,109567,2015-11-19 00:09:10,爱情转移
2,kk6741,36107601,第一次听的时候刚好失恋，那天在网吧通宵看完电影《爱情呼叫转移》的片尾响起了这首歌，一个大男生在网吧哭的一塌糊涂。。。一晃7年了，我还是一个人，错过了很多失去了，始终不明白荡气回肠最后还是为了最美的平凡。,56239,2015-03-15 20:39:07,爱情转移
3,峨眉周芷若r,19817752,其实每个人都会累，只是伪装着保护自己，有时像患了忧郁症一样，会突然心情不好。 偶尔像患了自闭症似的，不想说话也不想动。别人问起，也不知道该怎样回答。不是假装沉默，只是无力诉说。或许每个人都有一个死角，自己走不出来，别人也闯不进去，我把最深沉的秘密放在那里，你不懂我，我不怪你。,38581,2015-04-12 22:36:47,爱情转移
4,大橙子不,50022814,"""流浪几张双人床 换过几次信仰 才让戒指义无反顾的交换"" 多么现实又深刻的一句话。",32181,2015-12-22 12:38:11,爱情转移
5,钟意周杰伦,627465169,如果有人陪你异地恋千万不要随便把她弄丢她图你什么呢论距离，她图不到你的钱也睡不到你每天过着孤独的生活拒绝着身边的诱惑坚持下去那是因为她真的爱你,28319,2017-12-02 21:22:03,爱情转移
6,Yannischangdu,18323687,不知道为什么，只有这首歌喜欢国语版胜过粤语版,18991,2015-03-14 17:09:31,爱情转移
7,JYOBSXH,113790940,那年，她喜欢陈奕迅，我喜欢她。现在，我喜欢陈奕迅，她却喜欢他⋯⋯,17406,2016-02-05 00:15:47,爱情转移
8,-_好好生活-_,1436951035,你连前奏都没听完，怎么知道是富士山下还是爱情转移。我的意思是，你为什么不再等一等。,16921,2021-12-16 17:45:29,爱情转移
9,宬宬宬亰範,30545073,今晚听到忽然觉得比三年前好听,12954,2014-10-26 23:30:26,爱情转移
10,没道理_5,593568542,我和初恋中间隔了六年又和好啦！,12853,2020-04-01 22:20:39,爱情转移
11,束手无策了-,51164296,eason曾说过，爱情转移是一首不是人唱的歌。如果你一字一句连停顿气息都照着eason的原版模仿，你会发现真的不是人唱的。,11742,2015-06-12 00:34:29,爱情转移
12,越走越远_MMMM,347595536,遇见你是富士山下，离开你是爱情转移 ,9932,2020-01-27 19:37:14,爱情转移
13,urya-,1619101245,"爱情里有两种遗憾 一种是你曾经那么用力爱过 最后却发现那个人根本不值得 另一种是你没有好好去爱 失去了 才发现那是一个真正值得的人",9707,2019-01-21 20:23:07,爱情转移
14,洪荒少女爱吃,1580211666,或许换个时间，我们真的合适,9671,2020-09-26 17:24:51,爱情转移
15,洪洗象_,50144644,要求朋友变恋人是我这辈子最sb的决定。,312036,2015-10-18 07:55:49,最佳损友
16,揪心的少女与漫长的白日梦,7665105,新朋友不知道旧脾气，老朋友不知道新生活。,242819,2016-04-30 01:18:40,最佳损友
17,卡罗拉阔,31093275,这首歌，总让我想象出一个画面。两人在熙熙攘攘的人群中偶遇，又被人潮给错开，其中一个人兴奋地想把手抬起来又尴尬地假装是在摸摸后脑勺，另一个人微微笑着明白了，就转身走进了人群中。想着也不知何时才能够再见到。,225999,2014-10-13 00:00:05,最佳损友
18,我是你小超哥呀,103009440,我记得我和别人炫耀过你,106776,2016-01-28 13:43:39,最佳损友
19,光荣V梦想,38177545,这是黄伟文写给杨千桦的歌，黄伟文说:我知道杨小姐不成喜欢过我写给她的歌。杨只认林夕，黄，杨两人关系恶化。黄伟文写了这首歌给杨最好的朋友唱，一天杨在车上电台听到这首歌后停车在路边痛快。朋友。,72892,2014-11-23 13:22:11,最佳损友
20,果汁小姐,45343238,黄伟文在十年选里写下了这段话： 其实我一直怀疑杨小姐不曾喜欢过我为她写的歌词，那些道谢，直觉上都是客套话。但一直不太喜欢却一直采用，也许是种更伟大的包容，而我，真的，都尽力了。,64730,2014-12-18 10:52:02,最佳损友
21,咖啡瘾者,3585557,劝君更尽一杯酒，西出阳关无故人,63502,2014-11-18 08:43:21,最佳损友
22,帐号已注销,7281331,我接着便有许多话，想要连珠一般涌出：角鸡，跳鱼儿，贝壳，猹，……但又总觉得被什么挡着似的，单在脑里面回旋，吐不出口外去。 他站住了，脸上现出欢喜和凄凉的神情；动着嘴唇，却没有作声。他的态度终 于恭敬起来了，分明的叫道： “老爷！……” —《故乡》,44566,2015-10-27 23:20:31,最佳损友
23,我未曾珍惜的-我不再拥有,5847519,却没人像你让我眼泪背着流，严重似情侣讲分手。这是让杨千嬅停车哭的一句，是啊，两个傲气到背着流眼泪，谁也不肯先认错，没什么大仇，却因此越走越远，哎。。。,41031,2014-11-29 19:57:45,最佳损友
24,小柒_GMhF,1960324828,这首歌就不收藏了，你们赞一次我听一次，挺有仪式感的哈哈哈,33862,2022-10-14 00:08:59,最佳损友
25,一步目T,37355289,老友  愿你无忧。这首歌的每字每句都让我想起你，没那么多共同话题了，我也不是躲着你，记着你走进过我世界，自习偷偷跑掉玩儿一节课，坐在教学楼后面聊天听歌，你陪我走到家门口。无论什么时候你想找人谈谈心 我都会在这儿，即使从前那么要好已经回不去了,31406,2014-12-04 01:15:44,最佳损友
26,烏龍茶_TEA,42856509,杨千嬅挺着巨肚站在黄伟文(wyman)作品演唱会的舞台上，一袭黑纱，摸着肚子唱《可惜我是水瓶座》，《勇》以及《野孩子》。唱完三首，黄伟文左手捧花，右手推着婴儿车，上前拥抱这个大肚婆，杨千嬅带着哭花的脸，从台上降落。  一抱泯恩仇。 这就是最佳损友[开心][开心],29583,2015-11-10 10:31:56,最佳损友
27,super1987,33571549,被推着走，跟着生活流，所以朋友，对不起，有时候立场变了，各自都有各自的无奈,23896,2014-10-18 23:02:33,最佳损友
