,nickname,userid,content,likecount,time,name
0,山川里的湖海,127019334,东京街头，一名男子抱着吉他，用日语自弹自唱经典老歌《海阔天空》，熟悉的旋律吸引了一个女孩驻足聆听。唱到间奏，女孩突然情不自禁地跟着唱起了粤语版。接着，令人意外的一幕出现了……弹唱的男子也迅速切换成粤语，和女孩一起唱！突如其来地听到乡音，女孩顿时眼泪下来了,90595,2017-02-26 14:34:23,海阔天空
1,--音乐--,12021853,这首歌堪称经典，竟然这么少人评论，读小学的时候就经常听到这些歌，但是那时候不知道是beyond的,43432,2015-02-05 19:17:24,海阔天空
2,请叫我鼎爷谢谢,63696295,在家父母鼓励！在校老师鼓励！在社会家驹鼓励！,23128,2015-04-30 22:08:16,海阔天空
3,hope-thats,1788240184,致广大驹迷：沮丧时：听光辉岁月，落寞时：听午夜怨曲，孤寂时：听谁伴我闯荡，恋爱时：听喜欢你，踌躇时：听不再犹豫，压抑时：听冲开一切，怀旧时：听旧日的足迹，伤心时：听无语问苍天，失恋时：听曾是拥有，失意时：听海阔天空，为父亲：唱报答一生，为母亲：唱真的爱你！,18715,2020-05-09 11:57:45,海阔天空
4,喜欢嘴角上扬哦,3355537360,不懂黄家驹，不懂beyond的人认为2分35秒最好听，其实4分18秒以后才是最想表达的东西,14482,2021-02-26 21:38:07,海阔天空
5,lookedatherfor,1988915491,如果几年后，我娶了一个叫骆浩雄的男孩子，看到这条文案的人，有喜糖，有酒喝（不管多远我都给你邮过去）.,14235,2021-10-29 23:12:19,海阔天空
6,meandadele,67518441,高三最后一次班级大合唱唱这首歌班级会电吉他的男生会鼓的伴奏 歌曲里那几声喊声是班里那几个平时大嗓门的男生用力叫出来的 全班用尽全力的唱 据说当时整个大礼堂只有我们的歌声 所有人都惊呆了还有一些女生哭了 哈哈  高三那时候真的太多感动的故事 以为忘记了其实大一的现在还是能记得的很清,12883,2015-06-10 00:46:16,海阔天空
7,旋转胶碟,57341184,初三时流行磁带随身听，下了晚自习就一个人走在街上，听着这首歌，一个女生走过来问我一个人走路不寂寞吗？路灯照亮了她天真的眼神。觉得无趣的话题。没理她，继续一个人走路。十多年过去了，那个女生成为了我的妻子，下个月将成为我们孩子的母亲。,11953,2017-11-22 21:44:28,海阔天空
8,已註銷1095天,559597636,等我忙完这一生，就去看家驹的演唱会。[呲牙],11627,2020-06-14 23:15:29,海阔天空
9,任伯才,3246109742,⠀⠀⠀⠀⠀⠀ ⠀我希望正在读这句话的人永远开心⠀⠀⠀⠀,9102,2021-09-20 13:02:52,海阔天空
10,心照-_-,2126846452,2022年了 还有人在听海阔天空嘛,8213,2022-01-01 00:00:34,海阔天空
11,心照-_-,2126846452,海阔天空这一首歌秒杀一切,7702,2021-08-07 15:29:33,海阔天空
12,死亡之后的冷漠,1445241496,小学的时候，有一个拾荒的老人经常在学校附近捡废品。顽皮的我用糖纸包了一小块肥皂：“我请你吃糖。”他很开心的收起来了。恶作剧完了之后突然有些后悔，很多日子我都刻意躲着他。那天在校门口有几个同学欺负我，他突然冲过来抡起棍子保护我，等同学都跑了他对我说：“还没有人请我老头子吃过糖，,7668,2020-11-08 10:12:35,海阔天空
13,loiydssf,1964125717,我得癌症了，我太绝望了，这是什么世道阿,7209,2021-07-05 14:19:55,海阔天空
14,社会你贤哥66,406980414,我成功了兄弟们！！我成功了！！我复读考上高中了！！我成功了！！,6873,2021-07-25 21:01:01,海阔天空
15,陈奕达c,135800998,今天逛超市的时候看见了前女友，在买酸奶，挑了半天，放下她之前最爱喝的那个，选了最便宜的那个和现任去结账了，看的我有些心疼，在我手里那么宝贝的一个人，怎么到了别人那就什么也不是了[皱眉],181607,2016-04-01 17:04:59,爱如潮水
16,羽驹塔罗,33061633,每个歌手都有一个角色设定。。。纵览张信哲的设定是女友无限劈腿，痴情男伤心心碎。,81281,2014-11-16 15:50:33,爱如潮水
17,飘song,20690228,张情圣唱了这么多年情歌到今天还是单身！！大家散了吧，再听下去就要孤独终老了,65571,2014-12-19 13:21:30,爱如潮水
18,最後的丨輕語丨,264623715,宝马里是她前男友。前男友降下车窗问她：你不后悔吗？她说，不后悔，你的宝马是你爸给你的，十年之后我俩也会有宝马的。这是我听过最纯洁励志的爱情故事。十年后，她的自行车换成了电动车。他的宝马换成了兰博基尼。,52159,2016-04-21 23:48:12,爱如潮水
19,Perseverance___,120721548,雪夜。他单膝跪地，右手碰着她最爱的红玫瑰，左手拿着一个戒指盒。她一脸幸福，说：“别闹了，这么多人。”他笑着说：“那你答应我不?”她点点头。周围人雷动。回家路上，她看着他微驼的背影，说：“求了十几年的婚了，下一年的结婚纪念日，换个方式吧。” ,38464,2016-03-15 06:02:12,爱如潮水
20,帐号已注销,97368690,昨天做公交车回学校的路上，看到前排的一个女孩扎着马尾，穿着白衬衫，牛仔裤，白色帆布鞋，年轻，干净，整洁，符合一切美好的词汇。突然意识到自己年纪已经不可能在喜欢这样十几岁的女孩子了，看着她甚至出了神，恍惚间从她的身上看到你的脸，像极了当年的你，太匆匆,33562,2016-03-26 21:03:56,爱如潮水
21,雨夜星空清月,1437075227,"可能她现在不太富裕,但她很快乐.买东西开始拮据,因为他们可能已经在计划未来了[奸笑].并不是你和她一起她不快乐.只能说缘尽于此.唯有祝福.",31735,2018-12-20 17:49:19,爱如潮水
22,进击ed黑白菜,31459526,答应我你从此不在深夜里排队...23333,21028,2014-12-26 18:22:05,爱如潮水
23,大男汉子,32709908,换口味了，别想那么多[大哭],20547,2016-05-07 14:55:26,爱如潮水
24,lynn_yan,45888710,。。。这楼里面有好多叔叔阿姨啊。。[大哭]小时候这首歌流行的时候，我才几岁。。[大哭][大哭],13401,2014-12-28 14:49:56,爱如潮水
25,Carrie毅,259996213,我爱张信哲，朋友爱张国荣。我们都错过了他们最红的年代，但我却是幸运的，因为我还能和张信哲生活在同一个时代，虽然他已中年，但他依旧是我的青春，我的梦想，我的未来，身边的朋友很不能理解居然会有95后那么爱着张信哲，每当那时我都默然不语，我只需要活在我的世界，我就是幸福的，因为张信哲。,9785,2016-04-12 12:05:34,爱如潮水
26,阿刘xm,131157010,"我不知道她是不是别人的宝贝，但她却肯定是得到了她的所爱。",8801,2018-12-20 19:16:45,爱如潮水
27,不疯魔_不成活丶,32150180,和后期制作的磁带，碟子有什么区别？现在那些偶像歌手真的远不如十多年前那些当时还年轻的歌手的唱功。不知道多少人能理解吴昕异常激动的原因？这就是真正的歌手的魅力，他无数的歌都是80后的回忆，歌越老越经典，人越老越有魅力,8591,2016-01-01 03:21:24,爱如潮水
28,我是云村小公举_,94469825,我再也不愿见你在深夜里带妹，不愿别的女人见识你的走位,7048,2017-05-04 20:40:39,爱如潮水
29,王奕657,262556020,我有钱了，你回来吧,6550,2016-05-01 16:36:05,爱如潮水
30,那你会抱抱我吗,484015833,真的，男生矮不要自卑。我大一刚入学的时候只有168，也有人说我太矮了，后来我每天坚持锻炼、喝牛奶。果然不出一年，我就接受了这个现实。,12461,2021-02-28 09:22:35,至少还有你
31,SWLAYN,433765154,从VIP过来了！都一样！听罢,4797,2020-03-04 13:01:44,至少还有你
32,与寂寞在和好,1360297081,不敢告白，怕连舍友都做不成,4471,2021-07-21 12:36:26,至少还有你
33,假如明天还能见到你,107151576,就这样喜欢上了我的学长，一米八的身高，古铜色皮肤，笑起来很萌，大概是他喊我名字，夸我辩论赛很棒。可我也是男生。,3256,2020-05-16 09:03:47,至少还有你
34,小陈没有救赎-,557244542,两个都想赢得人只适合在一起打牌。,2765,2020-11-29 08:47:17,至少还有你
35,雪雪爱听老歌,1484591553,当收藏好久的音乐突然收费，就像我喜欢了好久的人突然走掉,2438,2020-03-11 10:40:18,至少还有你
36,我在等那个她呀,365169593,我今天看到她了，可我发现她好普通。我记得她以前超级漂亮的。 [心碎],2044,2020-05-19 23:51:16,至少还有你
37,虾滑爱吃我,1403930366,世界上有100种酸，一种是柠檬，一种是醋，剩下98种是你和其他蛤蟆说话,1959,2020-08-24 09:06:28,至少还有你
38,铭记相思苦,3814256192,中考103天  妈妈已经不在好久了有点想你哦我中考会努力的,1958,2022-03-17 22:59:50,至少还有你
39,简哥求你跟我回家,1958006673,贫穷让我们在这里相遇,1424,2020-03-06 16:08:34,至少还有你
40,迎风布阵老魏,595725570,我每次结婚都放这首歌。,1301,2021-03-24 18:00:18,至少还有你
41,小鱼大王驾到,494651593,十岁那年，妈妈做生意去玉溪了。当时放暑假，爸爸妈妈开车从昆明到玉溪。我坐在后座，车上的CD永远都是这首歌，听着听着就睡着了，之后到了红塔山，我很快的爬上去了。后来去西布小屋吃了我最最最最喜欢的冰稀饭。第二天就跟着爸爸妈妈去店里，店里的沙发很多老是不好好写作业。,1142,2021-09-22 20:06:59,至少还有你
42,花泥v,1958217904,没经历过情爱，越听越觉得这是给妈妈的歌，我很爱很爱我的妈妈，全世界只有她理解我，她很好，她对我好到让我想下辈子当男的下辈子娶她，因为我没有一个好父亲，她没有一个好丈夫，这个家全靠她联系，妈妈的爸爸妈妈没了，我要保护好她，下辈子还要遇到她,1119,2022-10-29 18:13:30,至少还有你
43,yige疯子,1765614535,妈妈你一定要健健康康的，等我长大啊。,1058,2020-04-29 17:50:14,至少还有你
44,晚安0-Owan,551110456,不试试怎么知道你室友是不是也是弯的呢,939,2021-07-22 20:09:43,至少还有你
45,丿了然丶,64683309,我擦！百度了下暗杠，竟然英文名我一样，然后身高一样，然后血型一样。。。瞬间怀疑我自己是不是也潜藏着音乐天赋，清了清嗓，刚唱了一句我就知道我又想多了[大哭],185373,2016-10-24 06:53:12,童话镇
46,xcoyr,96577964,这位很欣赏的网络歌手辞了大学教师的工作成为独立音乐人并开始制作不会产生利润的专辑CD和老式卡带，仅以此给所有心存梦想的人赞一个！！！,108416,2016-05-26 22:00:38,童话镇
47,w木木猪仔,1682033153,白雪公主为什么会被后妈嫉妒？因为她漂亮。猎人为什么放了她？因为她漂亮。小矮人为什么同意白雪公主和他们住在一起？因为她漂亮。王子为什么会吻醒她？因为她漂亮。所以善良没用，你得漂亮。,31701,2018-12-29 20:28:43,童话镇
48,森林里的造梦师,52629497,太棒了 什么时候能听到走歌人啊～,22966,2016-05-24 15:30:36,童话镇
49,吼吼in,76257372,安徒生:来来来，笔给你，看把你厉害的[撇嘴][撇嘴],17875,2016-12-15 21:26:30,童话镇
50,听的是与众不同,72623495,"2010年正好参加工作 就开始在YY听了,在那个排麦的年代，特别希望排在你前面的人被抱下麦或者不唱了，那是一件很开心的事情，后来去QT 就找不到了，看斗鱼的这段时间就想过如果暗杠到斗鱼会不会火，现在来了依然没有火，应为好的东西肯定只有一部分比较有品位的人才能懂的，祝贺你们，你们都是有品位的",10408,2016-05-27 13:15:19,童话镇
51,胥东,358954796,“等我玩音乐挣钱了，就跟你离婚。”杠姐淡淡地说。听完后，她心里暖暖的，她想，沒有比这更天长地久、海枯石烂的承诺了。,9895,2016-12-10 16:35:51,童话镇
