word,counts
时候,1
安置,1
期望,1
喜欢,1
熬夜,1
希望,1
留给,1
位置,1
不会,1
喜欢,1
纠缠,1
终究会,1
成为,1
思绪,1
回到,1
看到,1
笑容,1
凝固,1
看到,1
笑容,1
凝固,1
知道,1
时候,1
相见,1
时候,1
不图,1
拉回,1
思绪,1
选择,1
新欢,1
减少,1
结婚,1
哥们,1
指责,1
看着,1
情绪,1
银河,1
没有,1
漫长,1
总会,1
风景,1
新干线,1
上看,1
选择,1
无缝,1
连接,1
出去,1
形象,1
个人,1
粤语版,1
国语版,1
失去,1
拥有,1
接受,1
分手,1
时间,1
青岛,1
新欢,1
喜欢,1
大家,1
消失,1
不会,1
说谎,1
记得,1
没有,1
共振,1
不到,1
月光,1
握紧,1
聚会,1
班级,1
班主任,1
感兴趣,1
不该,1
重逢,1
试图,1
加油,1
兄弟,1
需要,1
开往,1
地老天荒,1
预感,1
分享,1
答案,1
照不出,1
廉价,1
显得,1
承诺,1
承诺,1
出来,1
生活,1
再见,1
欺骗,1
不到,1
讨厌,1
变成,1
记忆,1
变幻,1
爱情,1
没想,1
控制,1
看见,1
结束,1
摘掉,1
现出,1
口红,1
感兴趣,1
不该,1
不会,1
走向,1
穿小鞋,1
深知,1
性格,1
灵魂,1
生活,1
衣服,1
没有,1
情绪,1
争吵,1
问题,1
谈恋爱,1
蜜茶,1
茉莉,1
转移,1
爱情,1
需要,1
开往,1
地老天荒,1
认定,1
带烟,1
朋友,1
眼泪,1
旧路,1
重温,1
说好,1
订婚,1
生来,1
没有,1
办法,1
靠近,1
没有,1
大笑,1
见面,1
机会,1
等到,1
愿望,1
忘掉,1
人家,1
用钱,1
勾引,1
中意,1
不知,1
谈恋爱,1
错人,1
游戏吧,1
陌生人,1
还好,1
开心,1
加油,1
应该,1
日子,1
打扰,1
经历,1
知道,1
见面,1
爆炸,1
应该,1
窒息,1
世界,1
不想,1
结局,1
做饭,1
买菜,1
西藏,1
要不了,1
女孩子,1
离开,1
报平安,1
放过,1
没有,1
后悔,1
知道,1
没有,1
相信,1
照片,1
转身,1
嘴角,1
颤抖,1
爱情,1
消失,1
没有,1
机会,1
同路,1
男朋友,1
喜欢,1
概率,1
深情,1
感动,1
知道,1
开往,1
地老天荒,1
放不下,1
劫难,1
听懂,1
希望,1
时候,1
想要,1
偏爱,1
人人,1
眼泪,1
制造,1
人类,1
时候,1
喜欢,1
期望,1
记得,1
相见,1
陪伴,1
比起,1
转移,1
爱情,1
听完,1
需要,1
开往,1
地老天荒,1
没有,1
例外,1
滋味,1
骗过,1
表面,1
记得,1
留不住,1
跳动,1
出众,1
誓言,1
完成,1
出口,1
首歌,1
听完,1
旧路,1
走过,1
眼泪,1
青春,1
回头,1
开始,1
预谋,1
冷落,1
知道,1
语气,1
文案,1
话题,1
不到,1
风吹,1
竹枝,1
海压,1
总会,1
潮流,1
轮回,1
对方,1
了解,1
需要,1
开往,1
地老天荒,1
离开,1
知道,1
相遇,1
见面,1
方式,1
思念,1
假象,1
说谎,1
遇见,1
知道,1
直到,1
好看,1
好比,1
选择,1
陪伴,1
沟通,1
擅长,1
情绪,1
告诉,1
眼神,1
讨厌,1
失去,1
不想,1
我会,1
听到,1
遇到,1
总会,1
应该,1
加油,1
值得,1
感谢,1
该死,1
回头,1
感谢,1
该死,1
回头,1
说明,1
深情,1
只能,1
不会,1
文案,1
了解,1
考上,1
学校,1
分手,1
朋友,1
情绪,1
没有,1
方法,1
不足以,1
思念,1
告别,1
见面,1
看到,1
笑容,1
凝固,1
小事,1
深情,1
味道,1
意思,1
没有,1
觉得,1
成为,1
大人,1
需要,1
开往,1
地老天荒,1
执念,1
不甘,1
出现,1
时候,1
总归,1
转移,1
爱情,1
转移,1
爱情,1
喜欢,1
爱情,1
想起,1
时候,1
漫长,1
总会,1
知道,1
心事,1
样子,1
分手,1
想要,1
谈恋爱,1
窒息,1
评论,1
有点,1
感情,1
转移,1
没有,1
喜欢,1
变成,1
劫难,1
陪伴,1
成长,1
时候,1
喜欢,1
应该,1
转移,1
爱情,1
认为,1
知道,1
没听,1
转移,1
结局,1
开始,1
做饭,1
结束,1
喜欢,1
看不见,1
假装,1
开始,1
回忆,1
爱情,1
做饭,1
买菜,1
万物,1
世间,1
定数,1
大哭,1
难过,1
失望,1
明知,1
不可,1
流泪,1
听懂,1
泼妇,1
不堪,1
时候,1
照顾,1
可能,1
希望,1
样样,1
抽烟,1
喝酒,1
生不完,1
不完,1
激励,1
热情,1
喜欢,1
爸爸,1
厨房,1
翻开,1
顿饭,1
需要,1
喜欢,1
出来,1
连接,1
恋爱,1
听懂,1
转移,1
爱情,1
不会,1
结局,1
仅剩,1
青春,1
需要,1
接班,1
感情,1
靠近,1
远离,1
知道,1
首歌,1
时候,1
结婚,1
应该,1
代替,1
不能,1
高考,1
考出,1
害怕,1
失去,1
拥抱,1
成长,1
需要,1
开往,1
地老天荒,1
爱情,1
羔羊,1
拒绝,1
青春,1
可能,1
烧玩,1
碎掉,1
抱抱,1
成为,1
记忆,1
才能,1
世界,1
离开,1
崩塌,1
开始,1
遗留,1
抚慰,1
相遇,1
知道,1
冲动,1
歌词,1
出手,1
顿饭,1
算是,1
了解,1
结局,1
开始,1
做饭,1
开往,1
地老天荒,1
歌词,1
听懂,1
结婚,1
兄弟,1
影子,1
可惜,1
声音,1
生活,1
感觉,1
需要,1
开往,1
地老天荒,1
觉得,1
好听,1
转移,1
开头,1
没有,1
孩子气,1
害怕,1
喜欢,1
滚出,1
广西,1
错误,1
选择,1
心碎,1
不顾,1
年轻人,1
感受,1
不顾,1
年轻人,1
感受,1
时候,1
太透,1
有关,1
想到,1
耗尽,1
眼泪,1
时候,1
发现,1
时间,1
回不去,1
何止,1
心动,1
喜欢,1
看不清,1
模样,1
转移,1
爱情,1
遇见,1
告别,1
账号,1
社交,1
偷看,1
降低,1
演绎出,1
转移,1
破碎,1
可惜,1
需要,1
地老天荒,1
开始,1
害怕,1
爱情,1
看起来,1
打算,1
遇到,1
强求,1
期望,1
唱到,1
等到,1
没有,1
发现,1
打扰,1
发呆,1
不想,1
联系,1
忍住,1
假装,1
杀死,1
回忆,1
回望,1
回忆,1
刀片,1
转移,1
拥抱,1
胸膛,1
问起,1
牵手,1
恋爱,1
双方,1
事情,1
文凭,1
颜值,1
家境,1
奖励,1
主页,1
经验,1
学习,1
喜欢,1
转移,1
知道,1
爱情,1
样子,1
回到,1
开始,1
需要,1
开往,1
地老天荒,1
喜欢,1
分开,1
遇见,1
输给,1
喜欢,1
有点,1
感觉,1
失望,1
爱情,1
需要,1
勇气,1
没有,1
过程,1
享受,1
觉得,1
好听,1
自知,1
体验,1
泥潭,1
无法,1
挣脱,1
结婚,1
兄弟,1
分手,1
冷暴力,1
无缝,1
未满,1
恋人,1
朋友,1
笨蛋,1
表达,1
爱意,1
生活,1
开始,1
心痛,1
耳机,1
解药,1
消化,1
崩溃,1
情绪,1
直到,1
拨通,1
电话,1
爱意,1
转移,1
无法,1
谈恋爱,1
等到,1
回忆,1
不能,1
不会,1
好吃,1
恋爱,1
失恋,1
男孩子,1
恋爱,1
天赋,1
秘诀,1
人生,1
难过,1
暗示,1
觉得,1
不到,1
背影,1
消失,1
开始,1
老师,1
连读,1
小朋友,1
丢掉,1
规律,1
活不长,1
熬夜,1
没有,1
指望,1
遇到,1
希望,1
蛋糕,1
我会,1
朋友,1
结果,1
开始,1
直到,1
意义,1
消失,1
需要,1
开往,1
地老天荒,1
青春,1
希望,1
机会,1
有没有,1
女性,1
开心,1
想过,1
没有,1
输赢,1
忘不了,1
可能,1
初恋,1
挚爱,1
别忘记,1
饱饱,1
听歌,1
记录,1
浏览,1
看看,1
回头,1
不能,1
鼓起,1
想要,1
放心,1
陷入,1
消息,1
需要,1
开往,1
地老天荒,1
回来,1
喜欢,1
记住,1
奢求,1
深情,1
找到,1
了让,1
聊到,1
初识,1
晚安,1
跟你走,1
回来,1
时间,1
错过,1
回头,1
结果,1
分手,1
说明,1
只能,1
信息,1
青春,1
老伴,1
遇到,1
我会,1
属于,1
爱会,1
消失,1
转移,1
舍不得,1
感觉,1
放弃,1
计划,1
首席,1
开始,1
空间,1
世界,1
好像,1
绝情,1
遇不到,1
讲讲,1
心里话,1
需要,1
开往,1
地老天荒,1
结成,1
回忆,1
关系,1
买单,1
生命,1
出现,1
再见,1
不会,1
希望,1
听歌,1
遇到,1
时代,1
快餐,1
没钱,1
小子,1
计较,1
是否,1
过于,1
转移,1
爱情,1
看看,1
手机,1
发呆,1
还有,1
想着,1
复合,1
相逢,1
有缘,1
何求,1
诉说,1
摇摇,1
灯火,1
喜欢,1
好像,1
女孩子,1
维持,1
开始,1
男人,1
需要,1
开往,1
地老天荒,1
放弃,1
喜欢,1
直到,1
意义,1
消失,1
指责,1
破碎,1
所有人,1
对方,1
妥协,1
变成,1
放弃,1
喜欢,1
画圆,1
圆规,1
恋爱,1
喜欢,1
羊肉串,1
青春,1
老伴,1
时隔,1
懂得,1
希望,1
爱情,1
精神,1
生存,1
网易,1
看到,1
看不到,1
妻子,1
发生,1
期望,1
带来,1
失望,1
生气,1
屁事,1
相信,1
女孩子,1
拥抱,1
花瓣,1
上铺,1
爱情,1
复制,1
没有,1
吃饭,1
熬夜,1
直到,1
意义,1
消失,1
直到,1
意义,1
消失,1
难忘,1
时候,1
重启,1
感谢,1
陪伴,1
难过,1
堕落,1
炫耀,1
全世界,1
爱人,1
养花,1
遇见,1
才能,1
循环,1
单曲,1
东西,1
注定,1
失去,1
留学,1
听说,1
氛围,1
搭理,1
闺蜜带,1
找到,1
适合,1
爱哭,1
舍得,1
生气,1
热情,1
笨蛋,1
好好学习,1
一程,1
相逢,1
山水,1
对待,1
知道,1
效率,1
脊背,1
目光,1
亲吻,1
脾气,1
爱玩,1
经历,1
转移,1
爱情,1
意思,1
漫长,1
总会,1
需要,1
开往,1
地老天荒,1
欣慰,1
应该,1
觉得,1
世界,1
离开,1
样子,1
反话,1
改不掉,1
路人,1
