word,counts
女孩,1
男子,1
吸引,1
时候,1
小学,1
首歌,1
鼓励,1
老师,1
在校,1
冲开,1
报答,1
问苍天,1
表达,1
东西,1
看到,1
男孩子,1
文案,1
男生,1
班级,1
惊呆,1
成为,1
无趣,1
没理,1
看家,1
演唱会,1
起来,1
日子,1
同学,1
考上,1
复读,1
前女友,1
看见,1
时候,1
设定,1
痴情,1
无限,1
单身,1
情歌,1
大家,1
前男友,1
自行车,1
电动车,1
纪念日,1
背影,1
雷动,1
词汇,1
牛仔裤,1
看到,1
拮据,1
计划,1
可能,1
首歌,1
大哭,1
流行,1
理解,1
生活,1
青春,1
肯定,1
得到,1
歌手,1
偶像,1
知道,1
走位,1
见识,1
女人,1
有钱,1
回来,1
自卑,1
入学,1
锻炼,1
舍友,1
告白,1
不成,1
皮肤,1
古铜色,1
辩论赛,1
适合,1
赢得,1
打牌,1
音乐,1
收藏,1
收费,1
种酸,1
说话,1
蛤蟆,1
首歌,1
结婚,1
店里,1
稀饭,1
妈妈,1
妈妈,1
没有,1
全世界,1
试试,1
知道,1
室友,1
百度,1
音乐,1
身高,1
开始,1
专辑,1
大学,1
嫉妒,1
后妈,1
时候,1
听到,1
撇嘴,1
斗鱼,1
应为,1
开始,1
杠姐,1
音乐,1
挣钱,1
身份证,1
乌鸦,1
阴霾,1
童话,1
梦幻,1
约定,1
结局,1
流到,1
着许,1
看看,1
结局,1
译来,1
猎人,1
亲生,1
亲爸,1
有没有,1
镜子,1
美丽,1
手机,1
看过,1
心酸,1
爸妈,1
知道,1
开始,1
歌曲,1
年度,1
爸妈,1
总骗,1
还有,1
回家,1
照片,1
拍拍,1
孩子,1
人家,1
文盲,1
皮带,1
看到,1
时候,1
病症,1
间歇,1
婚姻,1
表达,1
煽情,1
觉得,1
青菜,1
喝水,1
不吃,1
见识,1
爸妈,1
体验,1
不能,1
生病,1
丢下,1
相聚,1
妈妈,1
吵架,1
看看,1
打转,1
大家,1
泪点,1
歌词,1
手机,1
画面,1
国产,1
耳机,1
放学,1
联系,1
同学,1
大学,1
评论,1
喜欢,1
听到,1
音乐,1
推荐,1
帮助,1
首歌,1
部分,1
自认,1
首歌,1
集中,1
同学,1
整整,1
循环,1
广播,1
来到,1
教室,1
网络,1
发达,1
时代,1
老人与海,1
时候,1
讨厌,1
还有,1
老人与海,1
话语,1
充斥,1
首歌,1
时候,1
操场,1
影响,1
生活,1
讨厌,1
耳机,1
袖子,1
校服,1
大哭,1
睡觉,1
逛街,1
知道,1
辨识,1
绯闻,1
声音,1
演唱会,1
喜欢,1
我会,1
研究生,1
泪水,1
回头,1
首歌,1
室友,1
宿舍,1
立马,1
下班,1
眼睛,1
同学,1
不知,1
首歌,1
希望,1
陌生人,1
单数,1
日子,1
心碎,1
喜欢,1
听的歌,1
评论,1
看到,1
只能,1
唱歌,1
看越,1
旧人,1
无情,1
备胎,1
备到,1
记得,1
显得,1
错过,1
老婆,1
愿望,1
出生,1
说话,1
联系,1
总会,1
评论,1
版权,1
可能,1
走到,1
看能,1
掌握,1
冷漠,1
主动权,1
记得,1
喝酒,1
结局,1
大哭,1
可能,1
兄弟,1
暖气,1
首歌,1
地点,1
无情,1
听歌,1
起来,1
教堂,1
医院,1
见证,1
来得及,1
首歌,1
天黑,1
首歌,1
知道,1
故事,1
外婆,1
支歌,1
写出,1
时候,1
发现,1
翻墙,1
唱作,1
走心,1
时候,1
没有,1
散步,1
天空,1
文字,1
时光,1
没有,1
表达,1
胖子,1
大家,1
声音,1
侵权行为,1
原唱,1
喜欢,1
山南,1
流行,1
北京,1
故事,1
男孩子,1
耳机线,1
氧气管,1
疾苦,1
人间,1
草东,1
飞车,1
霓虹,1
觉得,1
接吻,1
晚风,1
橙色,1
配绿,1
灰色,1
时候,1
解释,1
接吻,1
生活,1
爷爷,1
意思,1
飞车,1
谈恋爱,1
落日,1
状态,1
坠落,1
主观,1
坠落,1
太阳,1
发愁,1
失格,1
妹妹,1
哥哥,1
赞完,1
考试,1
编曲,1
还有,1
朋克,1
转圈圈,1
玩儿,1
围着,1
食人鱼,1
河里,1
培育出,1
首歌,1
时候,1
绝望,1
希望,1
采花,1
个人,1
知道,1
形容词,1
形容,1
说明,1
开心,1
首歌,1
坐在,1
电动车,1
后座,1
妈妈,1
起来,1
伤心,1
月份,1
开始,1
开票,1
感觉,1
首歌,1
希望,1
采花,1
开车,1
带你去,1
喜欢,1
可爱,1
没有,1
选手,1
特色,1
没有,1
前行,1
人会,1
歌手,1
带来,1
才子,1
大哭,1
配不上,1
觉得,1
标签,1
声音,1
冠上,1
没有,1
看起来,1
淡定,1
转念,1
没有,1
女朋友,1
编曲,1
介绍,1
大哭,1
网易,1
网友,1
审美,1
能算,1
歌手,1
叫唤,1
警察,1
类型,1
音乐,1
日落,1
开始,1
大道,1
找到,1
生活,1
没有,1
深意,1
爱好者,1
改编,1
评论,1
看到,1
驾校,1
禁止,1
播放,1
问题,1
性别,1
惩罚,1
分开,1
记得,1
耳语,1
风景,1
世俗,1
女孩,1
样子,1
光年,1
歌手,1
迎合,1
文化,1
正行,1
喜欢,1
女生,1
瓶颈,1
光年,1
编曲,1
规则,1
放纵,1
放弃,1
全曲,1
开头,1
痛仰,1
首歌,1
评论,1
西安,1
高考,1
武汉,1
词曲,1
包揽,1
稻草,1
可惜,1
前奏,1
刺猬,1
音乐,1
停止,1
输液管,1
耳机线,1
评论,1
火鸡,1
首歌,1
响起,1
稻草,1
花儿,1
踢翻,1
垃圾桶,1
看到,1
朋友,1
妹子,1
大哭,1
循环,1
蹦出,1
开始,1
妈妈,1
变成,1
保护,1
钟情,1
知己,1
爱人,1
未有,1
我会,1
情感,1
肝胆,1
姑娘,1
毫无,1
没法,1
姻缘,1
可哭,1
电影,1
插曲,1
港岛,1
哀伤,1
所有人,1
大学,1
喜欢,1
人们,1
小朋友,1
出错,1
放心,1
飞女,1
正传,1
烈女,1
喜欢,1
作家,1
想想,1
不配,1
痴情,1
感情,1
扮演,1
条线,1
醉酒,1
确定,1
首歌,1
起来,1
世界,1
见识,1
纠结,1
狠话,1
有关,1
分手时,1
付出,1
结果,1
浪费,1
前任,1
交新,1
忘不掉,1
翻唱,1
刷到,1
回头,1
不会,1
放弃,1
怀念,1
小朋友,1
问题,1
不能,1
不想,1
音乐,1
乐队,1
追梦,1
香港,1
聲音,1
樂壇,1
喜欢,1
不止,1
力量,1
勇气,1
首歌,1
知道,1
冒险,1
唱到,1
征讨,1
希望,1
語言,1
廣州,1
首歌,1
现场,1
喜欢,1
水平,1
男声,1
广东,1
香港,1
乐队,1
香港,1
沒有,1
無助,1
流出,1
找到,1
首歌,1
关心,1
音乐,1
遇到,1
美学,1
作为,1
学长,1
森林,1
云朵,1
海湾,1
愿意,1
好听,1
起来,1
带走,1
海湾,1
喧嚣,1
首歌,1
应该,1
四季歌,1
知道,1
听到,1
点击,1
说起,1
想到,1
想起,1
可能,1
位置,1
首歌,1
西安,1
现场,1
郑州,1
池塘,1
退后,1
发现,1
说话,1
偷听,1
世界,1
黑发,1
染白,1
熟睡,1
可写,1
看着,1
苏州,1
现场,1
西西里,1
美丽,1
记得,1
谈恋爱,1
有点,1
底线,1
准备,1
朋友,1
结婚,1
赘肉,1
熟睡,1
腰间,1
首歌,1
时候,1
音乐,1
不火,1
包括,1
再见,1
不想,1
打扰,1
不火,1
赘肉,1
现场,1
腰间,1
男生,1
希望,1
现场,1
感动,1
背景,1
舞台,1
光照,1
觉得,1
满满,1
活力,1
音乐,1
精选,1
版权,1
微笑,1
直击,1
名字,1
小孩子,1
套餐,1
勇者,1
适合,1
偶像剧,1
需要,1
提提神,1
演唱会,1
回馈,1
音乐,1
前奏,1
听到,1
差点,1
流星花园,1
甜心,1
嫁衣,1
不能,1
原唱,1
公司,1
海报,1
脚步,1
老婆,1
音质,1
粉丝,1
版权,1
女朋友,1
找到,1
可爱,1
勾起,1
迷离,1
眼神,1
上课,1
傻瓜,1
还有,1
萱是,1
毛病,1
没有,1
时期,1
脏话,1
起来,1
录制,1
感冒,1
妈妈,1
做饭,1
走进,1
老婆,1
没有,1
随性,1
好像,1
节奏,1
首歌,1
适合,1
婚礼,1
大胆,1
地藏,1
大威,1
存在,1
面对,1
负面,1
唱法,1
风格,1
听到,1
草地,1
衣服,1
全部,1
首歌,1
盗版,1
磁带,1
草地,1
心事,1
全都,1
说明,1
没有,1
还有,1
班级,1
唱歌,1
时候,1
小学,1
首歌,1
跳舞,1
表演,1
歌词,1
草地,1
摊开,1
世间,1
不信,1
开心,1
逗笑,1
人才,1
收费,1
我会,1
花钱,1
期待,1
编号,1
没有,1
高质量,1
曲风,1
略有,1
知道,1
专辑,1
流泪,1
抄袭,1
不算,1
姿势,1
作业,1
带来,1
能够,1
想象,1
西洋,1
展现,1
散发出,1
首歌,1
考上,1
等到,1
首歌,1
想起,1
听到,1
风格,1
不信,1
超快感,1
直往,1
演唱,1
初试,1
考研,1
追追,1
首歌,1
嫌弃,1
排在,1
喜欢,1
类型,1
专辑,1
希望,1
追逐,1
打动,1
考前,1
神曲,1
复习,1
喜欢,1
专辑,1
课桌,1
喜欢,1
无关,1
忘记,1
喜欢,1
延迟,1
作为,1
知道,1
网易,1
版权,1
回归,1
骚动,1
欲望,1
新鲜,1
好像,1
声音,1
遇到,1
應該,1
个人,1
可爱,1
觉得,1
好像,1
有点,1
喊麦,1
念白,1
说唱,1
觉得,1
念白,1
可爱,1
深渊,1
破碎,1
掉入,1
觉得,1
反应,1
部分,1
说唱,1
有点,1
头发,1
念白,1
可爱,1
刻起,1
生命,1
日子,1
知道,1
男声,1
误认为,1
装入,1
礼物,1
觉得,1
没有,1
朋友,1
过程,1
空白,1
晚风,1
啤酒,1
鸡腿饭,1
日月潭,1
方法,1
看到,1
地指,1
淡季,1
狂欢,1
动物园,1
好听,1
唱歌,1
迷死人,1
时代,1
透露,1
演员,1
歌手,1
流泪,1
抓起,1
手机,1
听歌,1
反应,1
爱心,1
火焰,1
月亮,1
光芒,1
时候,1
买不到,1
經歷,1
彷彿,1
爱人,1
不该,1
歌曲,1
同性,1
词作者,1
耳朵,1
想长,1
纠缠,1
无意,1
梦乡,1
时候,1
光芒,1
歌词,1
喜欢,1
读作,1
没有,1
词人,1
直女,1
变成,1
首歌,1
等待,1
新歌,1
青春,1
结束,1
盲目,1
抛弃,1
踢球,1
发新,1
名叫,1
点亮,1
追求,1
界限,1
喜欢,1
想要,1
了解,1
赞过,1
女生,1
表白,1
回头,1
下意识,1
躲开,1
缅怀,1
我会,1
故事,1
起头,1
希望,1
觉得,1
应当,1
剩下,1
听到,1
情歌,1
功力,1
算了,1
长命百岁,1
小气鬼,1
奔波,1
小哥,1
起来,1
时候,1
首歌,1
临近,1
知道,1
