index_label,name,id
1,爱情转移,65536
2,最佳损友,65800
3,孤勇者,1901371647
4,富士山下,65766
5,阴天快乐,28563317
6,不要说话,25906124
7,陪你度过漫长岁月,35403523
8,红玫瑰,65533
9,十年,66842
10,好久不见,65538
11,淘汰,65528
12,浮夸,66282
13,因为爱情,64317
14,葡萄成熟时,66285
15,单车,1897927507
16,白玫瑰,65761
17,我们,551816010
18,一丝不挂,64634
19,无条件,473194652
20,苦瓜,64293
21,孤独患者,64093
22,娱乐天空,28481104
23,是但求其爱,1496602290
24,K歌之王,67467
25,你给我听好,28481103
26,可以了,28481818
27,稳稳的幸福,25730757
28,粤语残片,65778
29,内疚,64126
30,明年今日,1897927500
31,落花流水,64922
32,让我留在你身边,1932872396
33,岁月如歌,66823
34,陀飞轮,64638
35,倾城 (Live),27867449
36,兄妹,66841
37,约定(Live),64443
38,于心有愧,64797
39,任我行,27483202
40,不如不见,65769
41,完,64048
42,沙龙,64833
43,人来人往 (Live),65923
44,失忆蝴蝶,27483203
45,爱是一本书,65540
46,无人之境,64625
47,夕阳无限好,66272
48,圣诞结,65355
49,斯德哥尔摩情人,27483204
50,"与我常在 (Live In Hong Kong, 2013)",28160884
